"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 21:00:50";null
"liveness-http on minikube";"2020-05-19 21:00:55";null
"liveness-http on minikube";"2020-05-19 21:01:00";null
"liveness-http on minikube";"2020-05-19 21:01:05";null
"liveness-http on minikube";"2020-05-19 21:01:10";null
"liveness-http on minikube";"2020-05-19 21:01:15";null
"liveness-http on minikube";"2020-05-19 21:01:20";null
"liveness-http on minikube";"2020-05-19 21:01:25";null
"liveness-http on minikube";"2020-05-19 21:01:30";null
"liveness-http on minikube";"2020-05-19 21:01:35";null
"liveness-http on minikube";"2020-05-19 21:01:40";null
"liveness-http on minikube";"2020-05-19 21:01:45";null
"liveness-http on minikube";"2020-05-19 21:01:50";null
"liveness-http on minikube";"2020-05-19 21:01:55";null
"liveness-http on minikube";"2020-05-19 21:02:00";null
"liveness-http on minikube";"2020-05-19 21:02:05";null
"liveness-http on minikube";"2020-05-19 21:02:10";null
"liveness-http on minikube";"2020-05-19 21:02:15";null
"liveness-http on minikube";"2020-05-19 21:02:20";null
"liveness-http on minikube";"2020-05-19 21:02:25";null
"liveness-http on minikube";"2020-05-19 21:02:30";null
"liveness-http on minikube";"2020-05-19 21:02:35";null
"liveness-http on minikube";"2020-05-19 21:02:40";null
"liveness-http on minikube";"2020-05-19 21:02:45";null
"liveness-http on minikube";"2020-05-19 21:02:50";null
"liveness-http on minikube";"2020-05-19 21:02:55";null
"liveness-http on minikube";"2020-05-19 21:03:00";null
"liveness-http on minikube";"2020-05-19 21:03:05";null
"liveness-http on minikube";"2020-05-19 21:03:10";null
"liveness-http on minikube";"2020-05-19 21:03:15";null
"liveness-http on minikube";"2020-05-19 21:03:20";null
"liveness-http on minikube";"2020-05-19 21:03:25";null
"liveness-http on minikube";"2020-05-19 21:03:30";null
"liveness-http on minikube";"2020-05-19 21:03:35";null
"liveness-http on minikube";"2020-05-19 21:03:40";null
"liveness-http on minikube";"2020-05-19 21:03:45";null
"liveness-http on minikube";"2020-05-19 21:03:50";null
"liveness-http on minikube";"2020-05-19 21:03:55";null
"liveness-http on minikube";"2020-05-19 21:04:00";null
"liveness-http on minikube";"2020-05-19 21:04:05";null
"liveness-http on minikube";"2020-05-19 21:04:10";null
"liveness-http on minikube";"2020-05-19 21:04:15";null
"liveness-http on minikube";"2020-05-19 21:04:20";null
"liveness-http on minikube";"2020-05-19 21:04:25";null
"liveness-http on minikube";"2020-05-19 21:04:30";null
"liveness-http on minikube";"2020-05-19 21:04:35";null
"liveness-http on minikube";"2020-05-19 21:04:40";null
"liveness-http on minikube";"2020-05-19 21:04:45";null
"liveness-http on minikube";"2020-05-19 21:04:50";null
"liveness-http on minikube";"2020-05-19 21:04:55";null
"liveness-http on minikube";"2020-05-19 21:05:00";null
"liveness-http on minikube";"2020-05-19 21:05:05";null
"liveness-http on minikube";"2020-05-19 21:05:10";null
"liveness-http on minikube";"2020-05-19 21:05:15";null
"liveness-http on minikube";"2020-05-19 21:05:20";null
"liveness-http on minikube";"2020-05-19 21:05:25";null
"liveness-http on minikube";"2020-05-19 21:05:30";null
"liveness-http on minikube";"2020-05-19 21:05:35";null
"liveness-http on minikube";"2020-05-19 21:05:40";null
"liveness-http on minikube";"2020-05-19 21:05:45";null
"liveness-http on minikube";"2020-05-19 21:05:50";null
"liveness-http on minikube";"2020-05-19 21:05:55";null
"liveness-http on minikube";"2020-05-19 21:06:00";null
"liveness-http on minikube";"2020-05-19 21:06:05";null
"liveness-http on minikube";"2020-05-19 21:06:10";null
"liveness-http on minikube";"2020-05-19 21:06:15";null
"liveness-http on minikube";"2020-05-19 21:06:20";null
"liveness-http on minikube";"2020-05-19 21:06:25";null
"liveness-http on minikube";"2020-05-19 21:06:30";null
"liveness-http on minikube";"2020-05-19 21:06:35";null
"liveness-http on minikube";"2020-05-19 21:06:40";null
"liveness-http on minikube";"2020-05-19 21:06:45";null
"liveness-http on minikube";"2020-05-19 21:06:50";null
"liveness-http on minikube";"2020-05-19 21:06:55";null
"liveness-http on minikube";"2020-05-19 21:07:00";null
"liveness-http on minikube";"2020-05-19 21:07:05";null
"liveness-http on minikube";"2020-05-19 21:07:10";null
"liveness-http on minikube";"2020-05-19 21:07:15";null
"liveness-http on minikube";"2020-05-19 21:07:20";null
"liveness-http on minikube";"2020-05-19 21:07:25";null
"liveness-http on minikube";"2020-05-19 21:07:30";null
"liveness-http on minikube";"2020-05-19 21:07:35";null
"liveness-http on minikube";"2020-05-19 21:07:40";null
"liveness-http on minikube";"2020-05-19 21:07:45";null
"liveness-http on minikube";"2020-05-19 21:07:50";null
"liveness-http on minikube";"2020-05-19 21:07:55";null
"liveness-http on minikube";"2020-05-19 21:08:00";null
